Name,Website,HQ,Category,Fit (Core/Stretch),Notes,Source,Conference,Classification
Eurex,https://www.eurex.com/ex-en/,,,,"Eurex stands for the leading European derivatives exchange and – with Eurex Clearing – one of the leading central counterparties globally. We are the architect of market liquidity, efficiency and integrity by providing our customers with innovative solutions to seamlessly manage risk.  On the trading side, we mastermind the most... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Bloomberg,https://www.bloomberg.com,,,,"Bloomberg was founded by Mike Bloomberg in 1981 with it's flagship Bloomberg Terminal product. The Bloomberg Terminal was - and still is - a first-of-its kind computerized system that gives financial institutions transparency into real-time market data, financial calculations and other analytics.     In the 40+ years since its founding, Bloomberg... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
BestX,http://www.bestx.co.uk,,,,"BestX® is recognized by more than 200 clients as the industry standard for transaction cost analysis (TCA) & best execution analytics. We cover the entire life cycle of a trade, from pre-trade counterparty selection to post-trade results and automated outlier detection. With customizable execution process, BestX helps you make better-informed... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Currenex,http://www.currenex.com,,,,"Currenex® is a market-leading provider of high-performance technology, market data and deep pools of liquidity to professional FX traders. Our award-winning platform allows clients to aggregate pricing from more than 60 streaming banks, non-banks and liquidity from our anonymous ECN, FXTrades™.     Scalable, flexible and robust technology, coupled with excellent customer... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
FX Connect,http://www.fxconnect.com,,,,"FX Connect® is an award-winning, multi-bank FX execution platform designed to simplify and automate the FX trading process – from pre-trade through execution to post-trade settlement. From complex trades down to the simplest ones, FX Connect’s relationship-based offering helps users to reduce operational risk, increase transparency and optimize best execution... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
LMAX Group,https://www.lmax.com/about,,,,"LMAX Group is a global financial technology company and the leading independent operator of multiple institutional execution venues for FX and crypto currency trading. With offices in 9 countries and a global client base, the Group builds and runs its own high performance, ultra-low latency exchange infrastructure, which includes matching... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
LSEG FX,http://www.lseg.com/en/fx,,,,"Your trusted FX solutions are now in one place, connecting the global FX market.   LSEG FX, brings together our market-leading FX capabilities at LSEG from pre-trade, at-trade and post-trade activities.   LSEG FX is empowering the FX community with an end-to-end suite of trading venues, workflows, platforms, market insights, data and... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
oneZero,https://www.onezero.com/,,,,"oneZero has been a leading innovator in multi-asset class enterprise trading technology since 2009. Its powerful software encompasses the Hub, EcoSystem and Data Source - three components that together provide a complete solution for trade execution, distribution and analytics. Through reliable connectivity, technology, infrastructure and market access, oneZero empowers financial... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
TradeNexus,http://www.tradenexussolutions.com,,,,"TradeNeXus® is a multi-award winning suite of post-trade solutions that facilitate automated exception-based management of foreign exchange and money market transactions from matching and messaging to settlement and clearing. TradeNeXus is a part of State Street GlobalLINKTM’s suite of market-leading e-trading platforms, technology and workflow solutions and provides straight-through processing,... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
360T,http://www.360t.com,,,,"360T is one of the globally leading trading platforms for Foreign Exchange (FX). As Deutsche Börse Group’s powerhouse for FX, 360T provides a web-based trading technology for over-the-counter (OTC) instruments, integration solutions and related services. For over 25 years, the company has developed and maintained a state-of-the-art multi-bank portal for... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Amazon Web Services,https://aws.amazon.com/,,,,"Since 2006, Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud. AWS has been continually expanding its services to support virtually any workload, and it now has more than 240 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
ATFX Connect,http://www.atgs.com.hk,,,,"ATFX Connect is a trading name of AT Global Markets (UK) Limited (authorised and regulated by the FCA), AT Global Markets (Australia) Pty Limited (authorised and regulated by ASIC), and AT Global Financial Services (HK) Limited (authorised and regulated by the SFC). Connect is the Institutional arm of the wider... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Bank of America,http://www.bofa.com,,,,"Bank of America is one of the world’s leading financial institutions, serving individual consumers, small and middle-market businesses, and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company provides unmatched convenience in the United States, serving approximately... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
